feature,split_score,gain_score
new_category_3_A_mean_std,13.5,19.0
new_category_3_B_sum_std,1.0,9.5
new_category_3_B_mean_std,17.0,85.0
new_category_3_C_sum_std,0.0,0.0
new_category_3_C_mean_std,0.0,0.0
new_category_3_D_sum_std,0.0,0.0
new_category_3_D_mean_std,0.0,0.0
hist_purchase_amount_min,97.0,100.0
hist_purchase_amount_max,80.0,100.0
hist_purchase_amount_mean,86.5,100.0
hist_purchase_amount_sum,59.5,100.0
hist_purchase_amount_std,15.5,99.5
new_purchase_amount_min,53.0,100.0
new_purchase_amount_max,100.0,100.0
new_purchase_amount_mean,100.0,100.0
new_purchase_amount_sum,100.0,100.0
new_purchase_amount_std,99.0,100.0
hist_purchase_amount_min_mean,91.5,100.0
hist_purchase_amount_max_mean,100.0,100.0
hist_purchase_amount_mean_mean,100.0,100.0
hist_purchase_amount_sum_mean,100.0,100.0
hist_purchase_amount_std_mean,46.0,100.0
hist_purchase_amount_min_std,27.5,100.0
hist_purchase_amount_max_std,99.5,100.0
hist_purchase_amount_mean_std,41.0,100.0
hist_purchase_amount_sum_std,31.0,100.0
hist_purchase_amount_std_std,6.0,99.5
new_purchase_amount_min_mean,14.5,100.0
new_purchase_amount_max_mean,100.0,100.0
new_purchase_amount_mean_mean,100.0,100.0
new_purchase_amount_sum_mean,100.0,100.0
new_purchase_amount_std_mean,2.0,94.0
new_purchase_amount_min_std,0.0,0.0
new_purchase_amount_max_std,0.0,2.0
new_purchase_amount_mean_std,0.0,0.5
new_purchase_amount_sum_std,59.5,57.0
new_purchase_amount_std_std,0.0,0.0
hist_pur_amount_mean_monthlag-13,0.0,0.0
hist_pur_amount_mean_monthlag-12,0.5,8.0
hist_pur_amount_mean_monthlag-11,16.5,91.0
hist_pur_amount_mean_monthlag-10,52.5,99.0
hist_pur_amount_mean_monthlag-9,76.0,100.0
hist_pur_amount_mean_monthlag-8,88.5,100.0
hist_pur_amount_mean_monthlag-7,99.0,100.0
hist_pur_amount_mean_monthlag-6,100.0,100.0
hist_pur_amount_mean_monthlag-5,99.5,100.0
hist_pur_amount_mean_monthlag-4,99.0,100.0
hist_pur_amount_mean_monthlag-3,90.0,100.0
hist_pur_amount_mean_monthlag-2,57.5,100.0
hist_pur_amount_mean_monthlag-1,88.5,100.0
hist_pur_amount_mean_monthlag0,99.5,100.0
hist_pur_amount_sum_monthlag-13,0.0,0.0
hist_pur_amount_sum_monthlag-12,8.0,32.5
hist_pur_amount_sum_monthlag-11,30.0,98.0
hist_pur_amount_sum_monthlag-10,45.5,97.5
hist_pur_amount_sum_monthlag-9,96.5,100.0
hist_pur_amount_sum_monthlag-8,100.0,100.0
hist_pur_amount_sum_monthlag-7,99.5,100.0
hist_pur_amount_sum_monthlag-6,100.0,100.0
hist_pur_amount_sum_monthlag-5,100.0,100.0
hist_pur_amount_sum_monthlag-4,100.0,100.0
hist_pur_amount_sum_monthlag-3,95.5,100.0
hist_pur_amount_sum_monthlag-2,94.0,100.0
hist_pur_amount_sum_monthlag-1,99.0,100.0
hist_pur_amount_sum_monthlag0,99.0,100.0
new_pur_amount_mean_monthlag1,1.5,100.0
new_pur_amount_mean_monthlag2,97.0,100.0
new_pur_amount_sum_monthlag1,100.0,100.0
new_pur_amount_sum_monthlag2,80.0,100.0
hist_pur_cnts_monthlag-13,0.0,0.0
hist_pur_cnts_monthlag-12,0.0,0.5
hist_pur_cnts_monthlag-11,0.0,10.5
hist_pur_cnts_monthlag-10,49.0,83.5
hist_pur_cnts_monthlag-9,34.0,99.0
hist_pur_cnts_monthlag-8,93.5,100.0
hist_pur_cnts_monthlag-7,82.0,100.0
hist_pur_cnts_monthlag-6,97.0,100.0
hist_pur_cnts_monthlag-5,100.0,100.0
hist_pur_cnts_monthlag-4,93.0,100.0
hist_pur_cnts_monthlag-3,48.5,100.0
hist_pur_cnts_monthlag-2,31.0,99.5
hist_pur_cnts_monthlag-1,11.5,96.0
hist_pur_cnts_monthlag0,100.0,100.0
new_pur_cnts_monthlag1,98.5,100.0
new_pur_cnts_monthlag2,0.0,29.5
hist_category_1_mean,100.0,100.0
hist_category_1_sum,100.0,100.0
new_category_1_mean,100.0,100.0
new_category_1_sum,100.0,100.0
hist_category_1_mean_mean,95.0,100.0
hist_category_1_sum_mean,95.5,100.0
hist_category_1_mean_std,92.0,100.0
hist_category_1_sum_std,95.0,100.0
new_category_1_mean_mean,100.0,100.0
new_category_1_sum_mean,100.0,100.0
new_category_1_mean_std,79.5,100.0
new_category_1_sum_std,78.5,91.5
hist_merchant_dup_mean,100.0,100.0
hist_merchant_dup_median,95.5,99.5
hist_merchant_dup_min,62.0,75.5
hist_merchant_dup_max,75.0,100.0
hist_merchant_dup_std,78.5,100.0
new_merchant_dup_mean,68.0,76.5
new_merchant_dup_median,0.0,0.0
new_merchant_dup_min,0.0,0.0
new_merchant_dup_max,0.0,0.0
new_merchant_dup_std,81.0,87.0
hist_authorized_flag_mean,100.0,100.0
hist_authorized_flag_sum,97.5,100.0
hist_authorized_flag_mean_mean,100.0,100.0
hist_authorized_flag_sum_mean,100.0,100.0
hist_authorized_flag_mean_std,100.0,100.0
hist_authorized_flag_sum_std,65.5,100.0
hist_year_nunique,100.0,100.0
hist_month_nunique,100.0,100.0
hist_weekofyear_nunique,100.0,100.0
hist_dayofweek_nunique,47.5,73.0
hist_hour_nunique,86.5,100.0
hist_weekend_sum,87.0,100.0
hist_weekend_mean,28.0,100.0
new_year_nunique,100.0,100.0
new_month_nunique,99.0,99.5
new_weekofyear_nunique,55.5,97.0
new_dayofweek_nunique,9.0,23.0
new_hour_nunique,0.0,0.5
new_weekend_sum,0.0,0.5
new_weekend_mean,0.0,0.5
hist_year_nunique_mean,0.0,0.0
hist_month_nunique_mean,0.0,0.0
hist_weekofyear_nunique_mean,65.5,100.0
hist_dayofweek_nunique_mean,22.0,99.5
hist_hour_nunique_mean,41.0,100.0
hist_weekend_sum_mean,25.5,100.0
hist_weekend_mean_mean,34.5,100.0
hist_year_nunique_std,0.0,0.0
hist_month_nunique_std,0.0,0.0
hist_weekofyear_nunique_std,17.5,100.0
hist_dayofweek_nunique_std,27.0,100.0
hist_hour_nunique_std,70.0,100.0
hist_weekend_sum_std,87.0,100.0
hist_weekend_mean_std,14.5,100.0
new_year_nunique_mean,0.0,0.0
new_month_nunique_mean,0.0,0.0
new_weekofyear_nunique_mean,7.0,22.5
new_dayofweek_nunique_mean,4.0,54.0
new_hour_nunique_mean,1.5,79.0
new_weekend_sum_mean,0.0,0.5
new_weekend_mean_mean,0.0,48.0
new_year_nunique_std,0.0,0.0
new_month_nunique_std,0.0,0.0
new_weekofyear_nunique_std,3.5,75.0
new_dayofweek_nunique_std,0.5,0.5
new_hour_nunique_std,25.5,72.0
new_weekend_sum_std,10.0,100.0
new_weekend_mean_std,0.0,1.5
hist_installments_min,72.5,82.0
hist_installments_max,68.5,92.0
hist_installments_sum,100.0,100.0
hist_installments_mean,100.0,100.0
hist_installments_std,79.0,99.5
hist_installments_nunique,74.5,100.0
new_installments_min,70.5,93.5
new_installments_max,91.5,94.0
new_installments_sum,15.0,71.0
new_installments_mean,44.0,98.5
new_installments_std,8.0,79.0
new_installments_nunique,20.0,30.5
hist_installments_min_mean,21.0,98.0
hist_installments_max_mean,79.5,100.0
hist_installments_sum_mean,94.5,100.0
hist_installments_mean_mean,92.0,100.0
hist_installments_std_mean,73.5,100.0
hist_installments_nunique_mean,76.5,100.0
hist_installments_min_std,80.5,97.5
hist_installments_max_std,69.0,100.0
hist_installments_sum_std,92.5,100.0
hist_installments_mean_std,81.0,99.5
hist_installments_std_std,15.5,100.0
hist_installments_nunique_std,76.5,100.0
new_installments_min_mean,72.0,100.0
new_installments_max_mean,56.0,90.0
new_installments_sum_mean,75.0,100.0
new_installments_mean_mean,71.5,99.0
new_installments_std_mean,1.5,85.0
new_installments_nunique_mean,17.0,61.0
new_installments_min_std,21.0,67.5
new_installments_max_std,2.5,77.0
new_installments_sum_std,0.0,0.0
new_installments_mean_std,0.0,4.5
new_installments_std_std,0.0,0.0
new_installments_nunique_std,34.5,87.0
hist_merchant_category_id_nunique,60.5,100.0
hist_subsector_id_nunique,43.5,98.5
hist_merchant_id_nunique,82.5,100.0
hist_state_id_nunique,59.0,98.0
hist_city_id_nunique,22.5,97.5
new_merchant_category_id_nunique,11.0,64.5
new_subsector_id_nunique,4.5,51.0
new_merchant_id_nunique,0.0,0.0
new_state_id_nunique,19.5,61.0
new_city_id_nunique,0.0,12.0
hist_merchant_category_id_nunique_mean,96.0,100.0
hist_subsector_id_nunique_mean,10.0,97.5
hist_merchant_id_nunique_mean,63.5,100.0
hist_state_id_nunique_mean,88.0,100.0
hist_city_id_nunique_mean,30.5,100.0
hist_merchant_category_id_nunique_std,5.5,99.5
hist_subsector_id_nunique_std,14.5,100.0
hist_merchant_id_nunique_std,65.5,100.0
hist_state_id_nunique_std,37.0,100.0
hist_city_id_nunique_std,31.0,100.0
new_merchant_category_id_nunique_mean,88.5,99.5
new_subsector_id_nunique_mean,54.5,99.5
new_merchant_id_nunique_mean,46.0,82.0
new_state_id_nunique_mean,0.0,0.0
new_city_id_nunique_mean,0.0,0.0
new_merchant_category_id_nunique_std,3.5,94.0
new_subsector_id_nunique_std,0.0,0.0
new_merchant_id_nunique_std,0.0,0.0
new_state_id_nunique_std,93.0,90.5
new_city_id_nunique_std,0.5,15.5
hist_merchant_category_id_auth_mean_min,52.5,100.0
hist_merchant_category_id_auth_mean_max,94.5,100.0
hist_merchant_category_id_auth_mean_sum,85.0,100.0
hist_merchant_category_id_auth_mean_mean,27.0,100.0
hist_merchant_category_id_auth_mean_median,20.5,94.5
hist_merchant_category_id_auth_mean_std,66.5,100.0
hist_merchant_category_id_auth_sum_min,39.5,100.0
hist_merchant_category_id_auth_sum_max,1.5,4.5
hist_merchant_category_id_auth_sum_sum,38.5,100.0
hist_merchant_category_id_auth_sum_mean,41.5,100.0
hist_merchant_category_id_auth_sum_median,98.5,100.0
hist_merchant_category_id_auth_sum_std,76.0,100.0
hist_subsector_id_auth_mean_min,2.5,97.5
hist_subsector_id_auth_mean_max,94.0,100.0
hist_subsector_id_auth_mean_sum,97.0,100.0
hist_subsector_id_auth_mean_mean,12.0,83.5
hist_subsector_id_auth_mean_median,12.0,99.5
hist_subsector_id_auth_mean_std,47.0,100.0
hist_subsector_id_auth_sum_min,73.0,100.0
hist_subsector_id_auth_sum_max,14.5,82.5
hist_subsector_id_auth_sum_sum,84.5,100.0
hist_subsector_id_auth_sum_mean,3.5,100.0
hist_subsector_id_auth_sum_median,80.5,100.0
hist_subsector_id_auth_sum_std,4.0,96.5
hist_merchant_id_auth_mean_min,8.0,100.0
hist_merchant_id_auth_mean_max,75.0,99.0
hist_merchant_id_auth_mean_sum,97.5,100.0
hist_merchant_id_auth_mean_mean,70.0,100.0
hist_merchant_id_auth_mean_median,66.5,100.0
hist_merchant_id_auth_mean_std,62.0,100.0
hist_merchant_id_auth_sum_min,5.5,97.5
hist_merchant_id_auth_sum_max,0.5,16.5
hist_merchant_id_auth_sum_sum,87.0,100.0
hist_merchant_id_auth_sum_mean,27.0,100.0
hist_merchant_id_auth_sum_median,55.0,100.0
hist_merchant_id_auth_sum_std,85.0,100.0
hist_state_id_auth_mean_min,22.5,34.5
hist_state_id_auth_mean_max,15.5,73.5
hist_state_id_auth_mean_sum,96.5,100.0
hist_state_id_auth_mean_mean,10.5,100.0
hist_state_id_auth_mean_median,90.0,100.0
hist_state_id_auth_mean_std,73.5,100.0
hist_state_id_auth_sum_min,66.0,100.0
hist_state_id_auth_sum_max,4.5,29.5
hist_state_id_auth_sum_sum,8.0,99.0
hist_state_id_auth_sum_mean,9.5,100.0
hist_state_id_auth_sum_median,94.0,100.0
hist_state_id_auth_sum_std,22.5,100.0
