feature,split_score,gain_score
hist_city_id_auth_mean_median_std,66.5,100.0
hist_city_id_auth_mean_std_std,11.5,99.5
hist_city_id_auth_sum_min_std,49.5,100.0
hist_city_id_auth_sum_max_std,0.5,98.0
hist_city_id_auth_sum_sum_std,69.0,100.0
hist_city_id_auth_sum_mean_std,27.5,100.0
hist_city_id_auth_sum_median_std,10.5,99.5
hist_city_id_auth_sum_std_std,15.5,98.5
new_merchant_category_id_auth_mean_min_mean,60.0,100.0
new_merchant_category_id_auth_mean_max_mean,1.5,99.5
new_merchant_category_id_auth_mean_sum_mean,86.0,99.5
new_merchant_category_id_auth_mean_mean_mean,1.5,88.5
new_merchant_category_id_auth_mean_median_mean,3.0,96.0
new_merchant_category_id_auth_mean_std_mean,0.0,100.0
new_merchant_category_id_auth_sum_min_mean,0.5,80.5
new_merchant_category_id_auth_sum_max_mean,3.0,70.5
new_merchant_category_id_auth_sum_sum_mean,4.0,96.5
new_merchant_category_id_auth_sum_mean_mean,1.0,42.5
new_merchant_category_id_auth_sum_median_mean,0.5,97.0
new_merchant_category_id_auth_sum_std_mean,0.0,82.5
new_subsector_id_auth_mean_min_mean,39.0,100.0
new_subsector_id_auth_mean_max_mean,0.5,71.0
new_subsector_id_auth_mean_sum_mean,51.5,100.0
new_subsector_id_auth_mean_mean_mean,0.0,56.5
new_subsector_id_auth_mean_median_mean,0.5,20.0
new_subsector_id_auth_mean_std_mean,2.5,100.0
new_subsector_id_auth_sum_min_mean,0.0,98.0
new_subsector_id_auth_sum_max_mean,1.0,68.5
new_subsector_id_auth_sum_sum_mean,9.0,100.0
new_subsector_id_auth_sum_mean_mean,0.5,96.5
new_subsector_id_auth_sum_median_mean,0.0,4.0
new_subsector_id_auth_sum_std_mean,0.0,2.0
new_merchant_id_auth_mean_min_mean,34.0,100.0
new_merchant_id_auth_mean_max_mean,9.0,100.0
new_merchant_id_auth_mean_sum_mean,84.0,100.0
new_merchant_id_auth_mean_mean_mean,2.0,65.0
new_merchant_id_auth_mean_median_mean,1.0,99.0
new_merchant_id_auth_mean_std_mean,0.0,99.0
new_merchant_id_auth_sum_min_mean,0.5,99.0
new_merchant_id_auth_sum_max_mean,10.5,82.0
new_merchant_id_auth_sum_sum_mean,46.5,94.0
new_merchant_id_auth_sum_mean_mean,16.5,98.5
new_merchant_id_auth_sum_median_mean,0.5,93.5
new_merchant_id_auth_sum_std_mean,0.0,12.0
new_state_id_auth_mean_min_mean,79.5,100.0
new_state_id_auth_mean_max_mean,51.0,100.0
new_state_id_auth_mean_sum_mean,90.0,100.0
new_state_id_auth_mean_mean_mean,2.5,98.0
new_state_id_auth_mean_median_mean,2.0,57.5
new_state_id_auth_mean_std_mean,19.5,99.5
new_state_id_auth_sum_min_mean,0.5,43.5
new_state_id_auth_sum_max_mean,1.5,62.0
new_state_id_auth_sum_sum_mean,0.0,82.0
new_state_id_auth_sum_mean_mean,0.5,82.5
new_state_id_auth_sum_median_mean,0.0,4.0
new_state_id_auth_sum_std_mean,9.5,93.5
new_city_id_auth_mean_min_mean,5.5,100.0
new_city_id_auth_mean_max_mean,0.0,50.0
new_city_id_auth_mean_sum_mean,92.5,99.5
new_city_id_auth_mean_mean_mean,71.5,100.0
new_city_id_auth_mean_median_mean,0.0,38.5
new_city_id_auth_mean_std_mean,0.0,87.5
new_city_id_auth_sum_min_mean,0.0,24.0
new_city_id_auth_sum_max_mean,30.0,100.0
new_city_id_auth_sum_sum_mean,24.5,100.0
new_city_id_auth_sum_mean_mean,4.0,100.0
new_city_id_auth_sum_median_mean,0.0,91.0
new_city_id_auth_sum_std_mean,0.0,42.0
new_merchant_category_id_auth_mean_min_std,0.0,0.0
new_merchant_category_id_auth_mean_max_std,0.0,15.5
new_merchant_category_id_auth_mean_sum_std,0.0,0.5
new_merchant_category_id_auth_mean_mean_std,0.0,0.0
new_merchant_category_id_auth_mean_median_std,0.0,0.0
new_merchant_category_id_auth_mean_std_std,0.0,0.0
new_merchant_category_id_auth_sum_min_std,0.0,0.0
new_merchant_category_id_auth_sum_max_std,0.0,0.0
new_merchant_category_id_auth_sum_sum_std,0.0,0.0
new_merchant_category_id_auth_sum_mean_std,0.0,78.5
new_merchant_category_id_auth_sum_median_std,0.0,0.0
new_merchant_category_id_auth_sum_std_std,0.0,0.0
new_subsector_id_auth_mean_min_std,0.0,0.0
new_subsector_id_auth_mean_max_std,0.0,0.5
new_subsector_id_auth_mean_sum_std,0.0,6.0
new_subsector_id_auth_mean_mean_std,0.0,17.0
new_subsector_id_auth_mean_median_std,0.0,0.0
new_subsector_id_auth_mean_std_std,0.0,0.0
new_subsector_id_auth_sum_min_std,0.0,0.0
new_subsector_id_auth_sum_max_std,0.0,0.0
new_subsector_id_auth_sum_sum_std,0.0,4.0
new_subsector_id_auth_sum_mean_std,0.0,0.0
new_subsector_id_auth_sum_median_std,0.0,0.0
new_subsector_id_auth_sum_std_std,0.0,0.0
new_merchant_id_auth_mean_min_std,0.0,0.0
new_merchant_id_auth_mean_max_std,0.0,0.5
new_merchant_id_auth_mean_sum_std,0.0,0.0
new_merchant_id_auth_mean_mean_std,0.0,0.5
new_merchant_id_auth_mean_median_std,0.0,0.0
new_merchant_id_auth_mean_std_std,0.0,0.0
new_merchant_id_auth_sum_min_std,0.0,0.0
new_merchant_id_auth_sum_max_std,0.0,0.0
new_merchant_id_auth_sum_sum_std,0.0,0.0
new_merchant_id_auth_sum_mean_std,0.0,0.0
new_merchant_id_auth_sum_median_std,0.0,0.0
new_merchant_id_auth_sum_std_std,0.0,0.0
new_state_id_auth_mean_min_std,0.0,0.0
new_state_id_auth_mean_max_std,12.5,49.0
new_state_id_auth_mean_sum_std,0.0,0.0
new_state_id_auth_mean_mean_std,0.0,0.0
new_state_id_auth_mean_median_std,0.0,1.5
new_state_id_auth_mean_std_std,0.0,0.0
new_state_id_auth_sum_min_std,1.0,46.5
new_state_id_auth_sum_max_std,0.0,12.5
new_state_id_auth_sum_sum_std,0.0,0.0
new_state_id_auth_sum_mean_std,0.0,0.0
new_state_id_auth_sum_median_std,0.0,0.0
new_state_id_auth_sum_std_std,0.0,0.0
new_city_id_auth_mean_min_std,0.0,2.0
new_city_id_auth_mean_max_std,0.0,0.5
new_city_id_auth_mean_sum_std,0.0,0.0
new_city_id_auth_mean_mean_std,0.0,0.5
new_city_id_auth_mean_median_std,0.0,0.0
new_city_id_auth_mean_std_std,0.0,0.0
new_city_id_auth_sum_min_std,0.0,0.0
new_city_id_auth_sum_max_std,0.0,0.0
new_city_id_auth_sum_sum_std,0.0,0.0
new_city_id_auth_sum_mean_std,0.0,0.0
new_city_id_auth_sum_median_std,0.0,0.0
new_city_id_auth_sum_std_std,0.0,0.0
